,Jan,,,Feb,,,Mar,,,Apr,,,May,,,14/06,,,14/07,,,14/08,,,14/09,,,14/10,,,14/11,,,14/12,,
,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,,Ratio,Shares,,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio
The India Times,269002,,#DIV/0!,,,#DIV/0!,392904,22645,17.3505851181276,527801,22240,23.732059352518,432944,23810,18.1832843343133,445467,22431,19.8594356025144,,,#DIV/0!,508282,34342,14.8005940248093,535623,36191,14.7998950015197,540246,32484,16.6311414850388,548334,34794,15.7594412829798,526499,35108,14.9965534920816
The LA Times,304475,,#DIV/0!,,,#DIV/0!,492805,5167,95.3754596477647,420958,4904,85.8397226753671,581927,5788,100.540255701451,522968,5654,92.4952246197382,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
theguardian.com,,12152,0,1066489,11345,94.0052005288674,1156510,12425,93.0792756539235,1130401,11178,101.127303632135,1225781,11521,106.395364985678,1324385,12159,108.922197549141,1419686,11787,120.445066598795,1265721,11196,113.051178992497,1370076,12025,113.935634095634,1510690,12717,118.792954313124,1350454,11959,112.923655824066,1188490,10457,113.654967964043
theverge.com,,,#DIV/0!,397478,1068,372.170411985019,387026,917,422.056706652127,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
time.com,,2833,0,349773,2786,125.546661880833,436561,2985,146.251591289782,1146464,3076,372.712613784135,448055,3029,147.921756355233,496888,3491,142.334001718705,492437,3127,157.47905340582,513760,2672,192.275449101796,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
tmz.com,,575,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,488797,896,545.532366071429,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,573364,772,742.699481865285,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
usatoday.com,,6566,0,382436,6559,58.3070590028968,370602,8043,46.0775829914211,413464,7953,51.9884320382246,,,#DIV/0!,428071,10066,42.5264255910987,546571,12131,45.0557250020608,590422,12058,48.9651683529607,607384,12921,47.0075071588886,642765,14486,44.3714621013392,538293,12409,43.3792408735595,,,#DIV/0!
washingtonpost.com,,7190,0,387066,7041,54.9731572219855,399938,7556,52.9298570672313,409800,7791,52.5991528686946,416799,8491,49.0871511011659,506873,8466,59.8716040633121,620329,8568,72.4006769374416,734062,8830,83.1327293318233,745501,9830,75.8393692777213,801042,10195,78.5720451201569,701444,8872,79.0626690712354,643569,8023,80.215505421912
wsj.com,,6885,0,559093,6815,82.0385913426266,643315,7415,86.7585974376264,630094,8589,73.3605774828269,662579,9476,69.9218024482904,684119,8839,77.3977825545876,808982,9080,89.0949339207048,772921,7739,99.8734978679416,877666,8629,101.711206397033,903888,9540,94.7471698113208,,,#DIV/0!,,,#DIV/0!
yahoo.com,,110930,0,567729,89489,6.34412050643096,662823,96437,6.87311923846656,587271,110210,5.32865438707921,669149,115957,5.77066498788344,766928,122186,6.27672564778289,898508,116116,7.73802060008957,1001997,110276,9.08626537052487,838440,113889,7.3619050127756,818035,119613,6.83901415397992,773326,110424,7.00324204882996,575336,94543,6.0854426028368
